track,artist,date
Power,Ellie Goulding,2022-01-03T20:56
Uptown funk,Mark Ronson feat. Bruno Mars,2022-01-03T20:54
Why don't ya,Alex Clare,2022-01-03T20:51
Love again,Dua Lipa,2022-01-03T20:48
Tage wie diese,Die Toten Hosen,2022-01-03T20:42
Don't be shy,Tiësto,2022-01-03T20:40
Blueprint,Rainbirds,2022-01-03T20:36
Love on myself,Felix Jaehn feat. Calum Scott,2022-01-03T20:33
Yeah 3x,Chris Brown,2022-01-03T20:29
Vertigo,Alice Merton,2022-01-03T20:24
Livin' on the edge,Aerosmith,2022-01-03T20:19
Young right now,Robin Schulz & Dennis Lloyd,2022-01-03T20:16
Heat waves,Glass Animals,2022-01-03T20:10
A night like this,Caro Emerald,2022-01-03T20:08
River,Tom Gregory,2022-01-03T20:04
Ho hey,The Lumineers,2022-01-03T19:57
Ho hey,The Lumineers,2022-01-03T19:57
First day of my life,Milow,2022-01-03T19:54
Never be the same again,Melanie C,2022-01-03T19:51
Are you lonely,Welshly Arms,2022-01-03T19:48
Wake me up,Avicii feat. Aloe Blacc,2022-01-03T19:45
Shivers,Ed Sheeran,2022-01-03T19:41
I missed again,Phil Collins,2022-01-03T19:37
Drive,"Clean Bandit x Topic feat. Wes Nelson, Clean Bandit",2022-01-03T19:34
Love is back,Celeste,2022-01-03T19:30
The one,Rea Garvey & VIZE,2022-01-03T19:26
Nothing's gonna change,"Shuko, Lee Fields & Nia Wyn",2022-01-03T19:19
Ein Kompliment,Sportfreunde Stiller,2022-01-03T19:16
Cry for help,Rick Astley,2022-01-03T19:10
That's how it goes,Zoe Wees feat. 6lack,2022-01-03T19:07
Only human,Jonas Brothers,2022-01-03T19:05
Danger,AHI,2022-01-03T18:56
Don't stop the music,Rihanna,2022-01-03T18:53
Looks like me,Dean Lewis,2022-01-03T18:49
The chamber,Lenny Kravitz,2022-01-03T18:44
Brooklyn,Glockenbach feat. ClockClock,2022-01-03T18:41
How to live,Leepa,2022-01-03T18:37
You make me wanna...,Usher,2022-01-03T18:34
Hypnotized,Purple Disco Machine & Sophie And The Giants,2022-01-03T18:31
Money's too tight (to mention),Simply Red,2022-01-03T18:25
Heartbeat song,Kelly Clarkson,2022-01-03T18:22
Don't break the heart,Tom Grennan,2022-01-03T18:15
Alright,Alle Farben feat. Kiddo,2022-01-03T18:12
Shallow,Lady Gaga & Bradley Cooper,2022-01-03T18:08
Your favourite song,YouNotUs & Julian Perretta,2022-01-03T18:05
Let's love,David Guetta & Sia,2022-01-03T17:55
Final song,MØ,2022-01-03T17:51
Sweet child o' mine,Guns n' Roses,2022-01-03T17:44
